"","gene_name","longest_transcript"
"6771","ENSMUSG00000025402.12","ENSMUST00000026469.8"
"6772","ENSMUSG00000062866.16","ENSMUST00000105546.7"
"6773","ENSMUSG00000030109.15","ENSMUST00000032200.15"
"6774","ENSMUSG00000024409.8","ENSMUST00000025273.8"
"6775","ENSMUSG00000022912.8","ENSMUST00000023629.8"
"6776","ENSMUSG00000039518.7","ENSMUST00000044804.7"
"6777","ENSMUSG00000024234.7","ENSMUST00000025077.6"
"6778","ENSMUSG00000095029.1","ENSMUST00000177659.1"
"6779","ENSMUSG00000039269.5","ENSMUST00000044326.4"
"6780","ENSMUSG00000020258.16","ENSMUST00000036382.12"
"6781","ENSMUSG00000070423.6","ENSMUST00000094124.4"
"6782","ENSMUSG00000050213.6","ENSMUST00000052183.6"
"6783","ENSMUSG00000003546.10","ENSMUST00000233974.1"
"6784","ENSMUSG00000090509.2","ENSMUST00000174521.1"
"6785","ENSMUSG00000028751.13","ENSMUST00000030531.13"
"6786","ENSMUSG00000042254.14","ENSMUST00000048762.7"
"6787","ENSMUSG00000090588.2","ENSMUST00000164502.2"
"6788","ENSMUSG00000052736.15","ENSMUST00000112057.8"
"6789","ENSMUSG00000073408.2","ENSMUST00000095467.3"
"6790","ENSMUSG00000109864.1","ENSMUST00000211623.1"
"6791","ENSMUSG00000002147.18","ENSMUST00000092074.11"
"6792","ENSMUSG00000030098.15","ENSMUST00000162300.7"
"6793","ENSMUSG00000040877.16","ENSMUST00000047115.8"
"6794","ENSMUSG00000017195.15","ENSMUST00000017339.11"
"6795","ENSMUSG00000025933.15","ENSMUST00000027064.7"
"6796","ENSMUSG00000001288.15","ENSMUST00000043172.14"
"6797","ENSMUSG00000024050.18","ENSMUST00000236409.1"
"6798","ENSMUSG00000041912.12","ENSMUST00000166032.7"
"6799","ENSMUSG00000070337.4","ENSMUST00000093942.4"
"6800","ENSMUSG00000091996.8","ENSMUST00000171799.3"
"6801","ENSMUSG00000021556.12","ENSMUST00000022039.6"
"6802","ENSMUSG00000030866.8","ENSMUST00000033153.8"
"6803","ENSMUSG00000030717.9","ENSMUST00000032961.3"
"6804","ENSMUSG00000021266.16","ENSMUST00000161154.1"
"6805","ENSMUSG00000032091.15","ENSMUST00000034599.14"
"6806","ENSMUSG00000038485.6","ENSMUST00000238729.1"
"6807","ENSMUSG00000040158.12","ENSMUST00000040687.11"
"6808","ENSMUSG00000055943.5","ENSMUST00000069747.5"
"6809","ENSMUSG00000046755.5","ENSMUST00000061019.5"
"6810","ENSMUSG00000017664.16","ENSMUST00000017808.13"
"6811","ENSMUSG00000045962.16","ENSMUST00000088644.12"
"6812","ENSMUSG00000040195.11","ENSMUST00000048099.4"
"6813","ENSMUSG00000060152.14","ENSMUST00000081497.12"
"6814","ENSMUSG00000027620.16","ENSMUST00000109587.8"
"6815","ENSMUSG00000002767.13","ENSMUST00000002844.13"
"6816","ENSMUSG00000071369.11","ENSMUST00000095806.9"
"6817","ENSMUSG00000005949.9","ENSMUST00000006103.8"
"6818","ENSMUSG00000026023.16","ENSMUST00000160662.7"
"6819","ENSMUSG00000074939.3","ENSMUST00000099589.3"
"6820","ENSMUSG00000026450.14","ENSMUST00000159963.7"
"6821","ENSMUSG00000056158.14","ENSMUST00000042943.12"
"6822","ENSMUSG00000030344.11","ENSMUST00000095440.8"
"6823","ENSMUSG00000041740.16","ENSMUST00000112097.7"
"6824","ENSMUSG00000004709.14","ENSMUST00000004829.12"
"6825","ENSMUSG00000021615.13","ENSMUST00000022115.13"
"6826","ENSMUSG00000021493.15","ENSMUST00000155098.7"
"6827","ENSMUSG00000019256.17","ENSMUST00000116436.8"
"6828","ENSMUSG00000035283.5","ENSMUST00000038949.5"
"6829","ENSMUSG00000051323.16","ENSMUST00000149154.7"
"6830","ENSMUSG00000007603.9","ENSMUST00000007747.9"
"6831","ENSMUSG00000028141.11","ENSMUST00000199678.3"
"6832","ENSMUSG00000012422.14","ENSMUST00000161568.7"
"6833","ENSMUSG00000030711.16","ENSMUST00000106373.8"
"6834","ENSMUSG00000026694.19","ENSMUST00000028017.15"
"6835","ENSMUSG00000004707.14","ENSMUST00000068878.13"
"6836","ENSMUSG00000027229.5","ENSMUST00000028661.5"
"6837","ENSMUSG00000048938.12","ENSMUST00000058899.12"
"6838","ENSMUSG00000004934.14","ENSMUST00000005064.13"
"6839","ENSMUSG00000028580.15","ENSMUST00000030315.12"
"6840","ENSMUSG00000021614.16","ENSMUST00000109546.8"
"6841","ENSMUSG00000030714.14","ENSMUST00000032956.9"
"6842","ENSMUSG00000027443.10","ENSMUST00000168443.7"
"6843","ENSMUSG00000036117.2","ENSMUST00000048605.2"
"6844","ENSMUSG00000021194.6","ENSMUST00000021610.6"
"6845","ENSMUSG00000038838.15","ENSMUST00000043674.14"
"6846","ENSMUSG00000032350.9","ENSMUST00000034905.8"
"6847","ENSMUSG00000028140.13","ENSMUST00000196143.1"
"6848","ENSMUSG00000025981.13","ENSMUST00000027125.6"
"6849","ENSMUSG00000058729.13","ENSMUST00000192561.5"
"6850","ENSMUSG00000051682.15","ENSMUST00000154335.7"
"6851","ENSMUSG00000031626.18","ENSMUST00000171337.9"
"6852","ENSMUSG00000035173.14","ENSMUST00000118592.7"
"6853","ENSMUSG00000026839.17","ENSMUST00000059102.12"
"6854","ENSMUSG00000062345.10","ENSMUST00000009356.10"
"6855","ENSMUSG00000054079.12","ENSMUST00000066888.9"
"6856","ENSMUSG00000053024.14","ENSMUST00000086521.10"
"6857","ENSMUSG00000091034.8","ENSMUST00000164471.7"
"6858","ENSMUSG00000021003.10","ENSMUST00000021390.8"
"6859","ENSMUSG00000035305.5","ENSMUST00000039630.5"
"6860","ENSMUSG00000003604.14","ENSMUST00000003705.11"
"6861","ENSMUSG00000019951.10","ENSMUST00000020112.6"
"6862","ENSMUSG00000023571.4","ENSMUST00000024338.4"
"6863","ENSMUSG00000026830.9","ENSMUST00000090940.5"
"6864","ENSMUSG00000002870.8","ENSMUST00000058011.7"
"6865","ENSMUSG00000030167.15","ENSMUST00000032270.12"
"6866","ENSMUSG00000066975.12","ENSMUST00000112385.7"
"6867","ENSMUSG00000069733.11","ENSMUST00000133493.8"
"6868","ENSMUSG00000026828.11","ENSMUST00000112616.7"
"6869","ENSMUSG00000022899.9","ENSMUST00000023616.9"
"6870","ENSMUSG00000020205.8","ENSMUST00000164773.1"
"6871","ENSMUSG00000049807.16","ENSMUST00000121799.7"
"6872","ENSMUSG00000057378.15","ENSMUST00000091818.5"
"6873","ENSMUSG00000042029.7","ENSMUST00000084828.4"
"6874","ENSMUSG00000030865.4","ENSMUST00000033152.4"
"6875","ENSMUSG00000034160.13","ENSMUST00000044475.4"
"6876","ENSMUSG00000041075.8","ENSMUST00000114246.3"
"6877","ENSMUSG00000089992.3","ENSMUST00000053876.4"
"6878","ENSMUSG00000047988.1","ENSMUST00000056955.1"
"6879","ENSMUSG00000030769.15","ENSMUST00000033035.12"
"6880","ENSMUSG00000050796.4","ENSMUST00000052185.4"
"6881","ENSMUSG00000001630.13","ENSMUST00000111644.1"
"6882","ENSMUSG00000022895.16","ENSMUST00000023612.16"
"6883","ENSMUSG00000066273.6","ENSMUST00000216312.1"
"6884","ENSMUSG00000043811.5","ENSMUST00000059589.5"
"6885","ENSMUSG00000003429.11","ENSMUST00000003521.9"
"6886","ENSMUSG00000044216.7","ENSMUST00000057801.7"
"6887","ENSMUSG00000022586.11","ENSMUST00000023250.10"
"6888","ENSMUSG00000046814.3","ENSMUST00000057454.3"
"6889","ENSMUSG00000022442.16","ENSMUST00000016897.11"
"6890","ENSMUSG00000095609.2","ENSMUST00000224713.1"
"6891","ENSMUSG00000026385.16","ENSMUST00000151708.2"
"6892","ENSMUSG00000031669.10","ENSMUST00000034094.10"
"6893","ENSMUSG00000066272.5","ENSMUST00000215657.1"
"6894","ENSMUSG00000020702.13","ENSMUST00000108189.8"
"6895","ENSMUSG00000040123.17","ENSMUST00000173954.2"
"6896","ENSMUSG00000031558.15","ENSMUST00000174421.7"
"6897","ENSMUSG00000046922.7","ENSMUST00000061796.7"
"6898","ENSMUSG00000052726.16","ENSMUST00000120796.7"
"6899","ENSMUSG00000041161.8","ENSMUST00000097830.3"
"6900","ENSMUSG00000058194.3","ENSMUST00000213366.2"
"6901","ENSMUSG00000032561.15","ENSMUST00000062723.13"
"6902","ENSMUSG00000037999.13","ENSMUST00000076623.7"
"6903","ENSMUSG00000079492.2","ENSMUST00000113742.2"
"6904","ENSMUSG00000059547.3","ENSMUST00000071917.3"
"6905","ENSMUSG00000026767.12","ENSMUST00000028105.12"
"6906","ENSMUSG00000034673.14","ENSMUST00000038149.12"
"6907","ENSMUSG00000096323.2","ENSMUST00000225683.1"
"6908","ENSMUSG00000048482.14","ENSMUST00000111042.2"
"6909","ENSMUSG00000073407.1","ENSMUST00000097331.1"
"6910","ENSMUSG00000090273.3","ENSMUST00000168666.2"
"6911","ENSMUSG00000020708.12","ENSMUST00000021049.8"
"6912","ENSMUSG00000039628.9","ENSMUST00000044922.7"
"6913","ENSMUSG00000034994.10","ENSMUST00000047864.10"
"6914","ENSMUSG00000020484.19","ENSMUST00000239150.1"
"6915","ENSMUSG00000037523.13","ENSMUST00000041362.11"
"6916","ENSMUSG00000037683.14","ENSMUST00000114640.8"
"6917","ENSMUSG00000043366.16","ENSMUST00000217123.2"
"6918","ENSMUSG00000027442.10","ENSMUST00000028931.9"
"6919","ENSMUSG00000025839.3","ENSMUST00000026957.3"
"6920","ENSMUSG00000038618.12","ENSMUST00000209500.1"
"6921","ENSMUSG00000010601.14","ENSMUST00000176074.8"
"6922","ENSMUSG00000026696.15","ENSMUST00000132158.7"
"6923","ENSMUSG00000110008.5","ENSMUST00000210453.2"
"6924","ENSMUSG00000020740.13","ENSMUST00000019135.13"
"6925","ENSMUSG00000095653.2","ENSMUST00000225144.1"
"6926","ENSMUSG00000022464.14","ENSMUST00000231039.1"
"6927","ENSMUSG00000067610.1","ENSMUST00000088046.1"
"6928","ENSMUSG00000025934.15","ENSMUST00000027067.14"
"6929","ENSMUSG00000024155.8","ENSMUST00000024972.6"
"6930","ENSMUSG00000021645.16","ENSMUST00000022147.14"
"6931","ENSMUSG00000052504.7","ENSMUST00000064405.7"
"6932","ENSMUSG00000027854.12","ENSMUST00000029447.11"
"6933","ENSMUSG00000024206.15","ENSMUST00000002444.14"
"6934","ENSMUSG00000053825.15","ENSMUST00000217854.1"
"6935","ENSMUSG00000028676.17","ENSMUST00000105853.9"
"6936","ENSMUSG00000022353.10","ENSMUST00000080371.7"
"6937","ENSMUSG00000034786.17","ENSMUST00000038244.14"
"6938","ENSMUSG00000078619.10","ENSMUST00000021052.15"
"6939","ENSMUSG00000034903.18","ENSMUST00000112431.7"
"6940","ENSMUSG00000038150.7","ENSMUST00000052919.7"
"6941","ENSMUSG00000031665.7","ENSMUST00000034090.7"
"6942","ENSMUSG00000024513.16","ENSMUST00000074058.10"
"6943","ENSMUSG00000038412.8","ENSMUST00000215007.1"
"6944","ENSMUSG00000070661.6","ENSMUST00000116094.3"
"6945","ENSMUSG00000044071.9","ENSMUST00000050756.7"
"6946","ENSMUSG00000020701.12","ENSMUST00000054245.7"
"6947","ENSMUSG00000094027.2","ENSMUST00000225881.1"
"6948","ENSMUSG00000054477.16","ENSMUST00000066890.13"
"6949","ENSMUSG00000038845.11","ENSMUST00000125172.7"
"6950","ENSMUSG00000060992.9","ENSMUST00000100162.4"
"6951","ENSMUSG00000029047.13","ENSMUST00000103180.3"
"6952","ENSMUSG00000005125.13","ENSMUST00000005256.13"
"6953","ENSMUSG00000055065.7","ENSMUST00000054014.8"
"6954","ENSMUSG00000029309.7","ENSMUST00000031249.7"
"6955","ENSMUSG00000027965.15","ENSMUST00000051309.8"
"6956","ENSMUSG00000034974.13","ENSMUST00000178422.8"
"6957","ENSMUSG00000018411.17","ENSMUST00000106989.2"
"6958","ENSMUSG00000014039.18","ENSMUST00000095849.9"
"6959","ENSMUSG00000113558.1","ENSMUST00000222611.1"
"6960","ENSMUSG00000038323.3","ENSMUST00000042734.2"
"6961","ENSMUSG00000095440.2","ENSMUST00000213610.1"
"6962","ENSMUSG00000049327.17","ENSMUST00000100709.6"
"6963","ENSMUSG00000043932.5","ENSMUST00000050385.5"
"6964","ENSMUSG00000087166.9","ENSMUST00000173659.1"
"6965","ENSMUSG00000038545.13","ENSMUST00000043464.13"
"6966","ENSMUSG00000015094.16","ENSMUST00000055921.13"
"6967","ENSMUSG00000071158.9","ENSMUST00000095409.2"
"6968","ENSMUSG00000030417.15","ENSMUST00000120714.1"
"6969","ENSMUSG00000037773.14","ENSMUST00000089581.10"
"6970","ENSMUSG00000096458.7","ENSMUST00000173760.8"
"6971","ENSMUSG00000020743.15","ENSMUST00000106507.8"
"6972","ENSMUSG00000004231.15","ENSMUST00000004340.10"
"6973","ENSMUSG00000053268.7","ENSMUST00000112771.1"
"6974","ENSMUSG00000024158.17","ENSMUST00000118788.7"
"6975","ENSMUSG00000091931.5","ENSMUST00000173969.1"
"6976","ENSMUSG00000036924.3","ENSMUST00000046589.3"
"6977","ENSMUSG00000056553.14","ENSMUST00000070733.8"
"6978","ENSMUSG00000040479.12","ENSMUST00000111303.1"
"6979","ENSMUSG00000029307.7","ENSMUST00000066708.6"
"6980","ENSMUSG00000035948.13","ENSMUST00000165067.8"
"6981","ENSMUSG00000026497.7","ENSMUST00000027778.7"
"6982","ENSMUSG00000041712.7","ENSMUST00000046404.7"
"6983","ENSMUSG00000036925.8","ENSMUST00000226584.1"
"6984","ENSMUSG00000014543.14","ENSMUST00000014687.10"
"6985","ENSMUSG00000020850.14","ENSMUST00000018449.10"
"6986","ENSMUSG00000022965.8","ENSMUST00000023687.8"
"6987","ENSMUSG00000027445.3","ENSMUST00000028935.3"
"6988","ENSMUSG00000063931.14","ENSMUST00000075068.13"
"6989","ENSMUSG00000039737.11","ENSMUST00000151786.7"
"6990","ENSMUSG00000006005.18","ENSMUST00000124973.8"
"6991","ENSMUSG00000063506.14","ENSMUST00000111956.8"
"6992","ENSMUSG00000098530.1","ENSMUST00000179306.1"
"6993","ENSMUSG00000001751.9","ENSMUST00000001802.9"
"6994","ENSMUSG00000086545.4","ENSMUST00000142268.2"
"6995","ENSMUSG00000034278.3","ENSMUST00000038439.3"
"6996","ENSMUSG00000027646.15","ENSMUST00000109529.1"
"6997","ENSMUSG00000057963.9","ENSMUST00000046518.11"
"6998","ENSMUSG00000051504.18","ENSMUST00000165045.8"
"6999","ENSMUSG00000027411.17","ENSMUST00000028900.10"
"7000","ENSMUSG00000037849.8","ENSMUST00000160565.3"
"7001","ENSMUSG00000010830.8","ENSMUST00000010974.8"
"7002","ENSMUSG00000027446.2","ENSMUST00000028937.2"
"7003","ENSMUSG00000071068.7","ENSMUST00000233092.1"
"7004","ENSMUSG00000096852.2","ENSMUST00000068861.7"
"7005","ENSMUSG00000078945.10","ENSMUST00000117913.7"
"7006","ENSMUSG00000068580.11","ENSMUST00000090174.10"
"7007","ENSMUSG00000044916.10","ENSMUST00000054316.8"
"7008","ENSMUSG00000073966.3","ENSMUST00000213432.1"
"7009","ENSMUSG00000063846.8","ENSMUST00000223770.1"
"7010","ENSMUSG00000026499.5","ENSMUST00000027780.5"
"7011","ENSMUSG00000005803.14","ENSMUST00000005953.10"
"7012","ENSMUSG00000039952.15","ENSMUST00000191899.5"
"7013","ENSMUSG00000027358.6","ENSMUST00000028836.6"
"7014","ENSMUSG00000027227.7","ENSMUST00000110551.3"
"7015","ENSMUSG00000027223.15","ENSMUST00000050312.2"
"7016","ENSMUSG00000046756.10","ENSMUST00000058109.8"
"7017","ENSMUSG00000046675.7","ENSMUST00000057416.7"
"7018","ENSMUSG00000095071.2","ENSMUST00000181748.1"
"7019","ENSMUSG00000041716.7","ENSMUST00000174651.1"
"7020","ENSMUSG00000024207.8","ENSMUST00000043062.4"
"7021","ENSMUSG00000094796.2","ENSMUST00000225029.1"
"7022","ENSMUSG00000035407.8","ENSMUST00000102790.3"
"7023","ENSMUSG00000070501.14","ENSMUST00000090406.5"
"7024","ENSMUSG00000048469.6","ENSMUST00000061096.6"
"7025","ENSMUSG00000059474.13","ENSMUST00000107854.8"
"7026","ENSMUSG00000034612.7","ENSMUST00000040110.7"
"7027","ENSMUSG00000069785.4","ENSMUST00000146433.1"
"7028","ENSMUSG00000024042.7","ENSMUST00000024839.5"
"7029","ENSMUSG00000020251.13","ENSMUST00000065815.12"
"7030","ENSMUSG00000016346.17","ENSMUST00000149964.8"
"7031","ENSMUSG00000028838.11","ENSMUST00000030643.2"
"7032","ENSMUSG00000050335.17","ENSMUST00000142734.7"
"7033","ENSMUSG00000025838.12","ENSMUST00000026956.3"
"7034","ENSMUSG00000060988.12","ENSMUST00000112634.7"
"7035","ENSMUSG00000005864.7","ENSMUST00000006020.7"
"7036","ENSMUSG00000064145.12","ENSMUST00000013338.13"
"7037","ENSMUSG00000070324.6","ENSMUST00000080626.8"
"7038","ENSMUSG00000051276.4","ENSMUST00000060062.4"
"7039","ENSMUSG00000022992.17","ENSMUST00000230542.1"
"7040","ENSMUSG00000005973.6","ENSMUST00000006128.6"
"7041","ENSMUSG00000034813.18","ENSMUST00000138410.7"
"7042","ENSMUSG00000051176.6","ENSMUST00000211248.1"
"7043","ENSMUSG00000037364.12","ENSMUST00000040873.11"
"7044","ENSMUSG00000021285.15","ENSMUST00000054815.14"
"7045","ENSMUSG00000048534.7","ENSMUST00000050020.7"
"7046","ENSMUSG00000029911.14","ENSMUST00000031971.12"
"7047","ENSMUSG00000068184.7","ENSMUST00000163558.2"
"7048","ENSMUSG00000041165.6","ENSMUST00000045771.6"
"7049","ENSMUSG00000060227.15","ENSMUST00000078752.9"
"7050","ENSMUSG00000021895.10","ENSMUST00000225949.1"
"7051","ENSMUSG00000034210.14","ENSMUST00000074425.12"
"7052","ENSMUSG00000044084.2","ENSMUST00000056941.2"
"7053","ENSMUSG00000109737.1","ENSMUST00000210714.1"
"7054","ENSMUSG00000089876.3","ENSMUST00000051025.4"
"7055","ENSMUSG00000074182.8","ENSMUST00000098534.8"
"7056","ENSMUSG00000070304.12","ENSMUST00000170998.8"
"7057","ENSMUSG00000071180.5","ENSMUST00000095458.5"
"7058","ENSMUSG00000027801.7","ENSMUST00000029377.7"
"7059","ENSMUSG00000053310.11","ENSMUST00000065668.11"
"7060","ENSMUSG00000033228.8","ENSMUST00000047835.7"
"7061","ENSMUSG00000044172.7","ENSMUST00000054930.6"
"7062","ENSMUSG00000075470.2","ENSMUST00000100309.2"
"7063","ENSMUSG00000021831.9","ENSMUST00000022378.8"
"7064","ENSMUSG00000020228.11","ENSMUST00000020449.11"
"7065","ENSMUSG00000020661.15","ENSMUST00000020991.14"
"7066","ENSMUSG00000002329.7","ENSMUST00000002400.6"
"7067","ENSMUSG00000037627.16","ENSMUST00000172831.7"
"7068","ENSMUSG00000074240.5","ENSMUST00000238973.1"
"7069","ENSMUSG00000110912.1","ENSMUST00000213185.1"
"7070","ENSMUSG00000017428.16","ENSMUST00000173938.7"
"7071","ENSMUSG00000025473.16","ENSMUST00000106069.8"
"7072","ENSMUSG00000021978.9","ENSMUST00000225633.1"
"7073","ENSMUSG00000075179.3","ENSMUST00000099882.1"
"7074","ENSMUSG00000026170.6","ENSMUST00000027356.6"
"7075","ENSMUSG00000066684.10","ENSMUST00000199387.1"
"7076","ENSMUSG00000053593.10","ENSMUST00000066116.7"
"7077","ENSMUSG00000035963.8","ENSMUST00000095464.2"
"7078","ENSMUSG00000035189.17","ENSMUST00000182341.7"
"7079","ENSMUSG00000052533.14","ENSMUST00000064447.11"
"7080","ENSMUSG00000034674.18","ENSMUST00000151390.7"
"7081","ENSMUSG00000060742.1","ENSMUST00000076263.1"
"7082","ENSMUSG00000075419.4","ENSMUST00000100219.4"
"7083","ENSMUSG00000026882.1","ENSMUST00000028243.1"
"7084","ENSMUSG00000005220.10","ENSMUST00000005352.9"
"7085","ENSMUSG00000027788.6","ENSMUST00000053013.5"
"7086","ENSMUSG00000032846.10","ENSMUST00000105097.2"
"7087","ENSMUSG00000004460.17","ENSMUST00000004574.13"
"7088","ENSMUSG00000028248.15","ENSMUST00000029911.11"
"7089","ENSMUSG00000052889.11","ENSMUST00000143692.7"
"7090","ENSMUSG00000025792.9","ENSMUST00000026899.3"
"7091","ENSMUSG00000007646.13","ENSMUST00000007790.10"
"7092","ENSMUSG00000079283.2","ENSMUST00000193374.1"
"7093","ENSMUSG00000019947.10","ENSMUST00000219238.1"
"7094","ENSMUSG00000020270.9","ENSMUST00000020508.3"
"7095","ENSMUSG00000027800.14","ENSMUST00000196979.4"
"7096","ENSMUSG00000011877.13","ENSMUST00000037285.9"
"7097","ENSMUSG00000047751.9","ENSMUST00000168457.2"
"7098","ENSMUSG00000034361.10","ENSMUST00000048653.9"
"7099","ENSMUSG00000091490.3","ENSMUST00000209200.1"
"7100","ENSMUSG00000037772.13","ENSMUST00000210662.1"
"7101","ENSMUSG00000036766.12","ENSMUST00000049126.12"
"7102","ENSMUSG00000021286.8","ENSMUST00000223211.1"
"7103","ENSMUSG00000074862.11","ENSMUST00000119492.1"
"7104","ENSMUSG00000003808.18","ENSMUST00000003906.12"
"7105","ENSMUSG00000026358.13","ENSMUST00000189061.6"
"7106","ENSMUSG00000041781.9","ENSMUST00000047357.9"
"7107","ENSMUSG00000059005.13","ENSMUST00000111964.7"
"7108","ENSMUSG00000039187.16","ENSMUST00000036865.12"
"7109","ENSMUSG00000039640.7","ENSMUST00000043627.7"
"7110","ENSMUSG00000020577.17","ENSMUST00000020896.16"
"7111","ENSMUSG00000012609.19","ENSMUST00000040179.13"
"7112","ENSMUSG00000113902.1","ENSMUST00000221422.1"
"7113","ENSMUSG00000028690.4","ENSMUST00000030453.4"
"7114","ENSMUSG00000029103.16","ENSMUST00000030986.14"
"7115","ENSMUSG00000024073.16","ENSMUST00000182597.7"
"7116","ENSMUSG00000046006.6","ENSMUST00000058806.6"
"7117","ENSMUSG00000041737.8","ENSMUST00000048050.8"
"7118","ENSMUSG00000032231.14","ENSMUST00000034756.14"
"7119","ENSMUSG00000045903.9","ENSMUST00000056129.8"
"7120","ENSMUSG00000022452.16","ENSMUST00000023086.14"
"7121","ENSMUSG00000033417.16","ENSMUST00000081790.14"
"7122","ENSMUSG00000022868.6","ENSMUST00000023583.6"
"7123","ENSMUSG00000072049.6","ENSMUST00000094491.4"
"7124","ENSMUSG00000050195.8","ENSMUST00000058856.8"
"7125","ENSMUSG00000055407.14","ENSMUST00000207883.1"
"7126","ENSMUSG00000049687.5","ENSMUST00000161178.1"
"7127","ENSMUSG00000021255.17","ENSMUST00000110204.8"
"7128","ENSMUSG00000118483.1","ENSMUST00000238503.1"
"7129","ENSMUSG00000013419.7","ENSMUST00000093772.3"
"7130","ENSMUSG00000055312.2","ENSMUST00000068813.2"
"7131","ENSMUSG00000028385.14","ENSMUST00000030080.6"
"7132","ENSMUSG00000063163.13","ENSMUST00000076500.13"
"7133","ENSMUSG00000006641.12","ENSMUST00000202520.3"
"7134","ENSMUSG00000054994.2","ENSMUST00000068340.2"
"7135","ENSMUSG00000030342.8","ENSMUST00000032492.8"
"7136","ENSMUSG00000062007.13","ENSMUST00000072097.13"
"7137","ENSMUSG00000059713.12","ENSMUST00000030606.13"
"7138","ENSMUSG00000056413.16","ENSMUST00000110865.1"
"7139","ENSMUSG00000054905.2","ENSMUST00000068182.2"
"7140","ENSMUSG00000000093.6","ENSMUST00000000095.6"
"7141","ENSMUSG00000094942.7","ENSMUST00000187656.6"
"7142","ENSMUSG00000022902.8","ENSMUST00000023619.7"
"7143","ENSMUSG00000000916.15","ENSMUST00000000940.14"
"7144","ENSMUSG00000025203.6","ENSMUST00000026221.6"
"7145","ENSMUSG00000090035.3","ENSMUST00000161240.3"
"7146","ENSMUSG00000005958.15","ENSMUST00000006112.6"
"7147","ENSMUSG00000071192.6","ENSMUST00000176696.2"
"7148","ENSMUSG00000038481.13","ENSMUST00000044672.10"
"7149","ENSMUSG00000071561.2","ENSMUST00000096089.2"
"7150","ENSMUSG00000055108.6","ENSMUST00000060761.6"
"7151","ENSMUSG00000028932.7","ENSMUST00000030769.5"
"7152","ENSMUSG00000031796.7","ENSMUST00000034249.7"
"7153","ENSMUSG00000029710.15","ENSMUST00000111055.8"
"7154","ENSMUSG00000042790.16","ENSMUST00000162369.7"
"7155","ENSMUSG00000019432.15","ENSMUST00000068056.11"
"7156","ENSMUSG00000101892.1","ENSMUST00000100655.4"
"7157","ENSMUSG00000021700.10","ENSMUST00000167824.2"
"7158","ENSMUSG00000003814.8","ENSMUST00000003912.6"
"7159","ENSMUSG00000117406.1","ENSMUST00000024931.5"
"7160","ENSMUSG00000073982.11","ENSMUST00000106923.1"
"7161","ENSMUSG00000095474.2","ENSMUST00000238499.1"
"7162","ENSMUSG00000020312.12","ENSMUST00000020564.6"
"7163","ENSMUSG00000060586.11","ENSMUST00000074557.10"
"7164","ENSMUSG00000040428.19","ENSMUST00000209517.1"
"7165","ENSMUSG00000030446.17","ENSMUST00000181391.7"
"7166","ENSMUSG00000053293.9","ENSMUST00000111171.5"
"7167","ENSMUSG00000004535.12","ENSMUST00000080723.10"
"7168","ENSMUSG00000027860.15","ENSMUST00000029453.12"
"7169","ENSMUSG00000022361.14","ENSMUST00000175805.8"
"7170","ENSMUSG00000111772.2","ENSMUST00000217292.2"
"7171","ENSMUSG00000032807.5","ENSMUST00000036424.2"
"7172","ENSMUSG00000050640.16","ENSMUST00000063192.14"
"7173","ENSMUSG00000095806.1","ENSMUST00000105209.2"
"7174","ENSMUSG00000095797.8","ENSMUST00000180788.7"
"7175","ENSMUSG00000062342.3","ENSMUST00000071873.3"
"7176","ENSMUSG00000025370.7","ENSMUST00000228307.1"
"7177","ENSMUSG00000015852.13","ENSMUST00000090986.10"
"7178","ENSMUSG00000079497.4","ENSMUST00000129574.2"
"7179","ENSMUSG00000054497.5","ENSMUST00000067597.4"
"7180","ENSMUSG00000029368.10","ENSMUST00000031314.9"
"7181","ENSMUSG00000002908.17","ENSMUST00000212086.1"
"7182","ENSMUSG00000024276.7","ENSMUST00000060762.5"
"7183","ENSMUSG00000059991.7","ENSMUST00000071782.7"
"7184","ENSMUSG00000070366.5","ENSMUST00000094018.5"
"7185","ENSMUSG00000029470.15","ENSMUST00000031429.13"
"7186","ENSMUSG00000018907.10","ENSMUST00000019051.2"
"7187","ENSMUSG00000026781.17","ENSMUST00000228050.1"
"7188","ENSMUSG00000079343.4","ENSMUST00000218020.1"
"7189","ENSMUSG00000021458.17","ENSMUST00000091560.10"
"7190","ENSMUSG00000034898.17","ENSMUST00000093811.10"
"7191","ENSMUSG00000038256.15","ENSMUST00000046521.13"
"7192","ENSMUSG00000100249.1","ENSMUST00000189190.1"
"7193","ENSMUSG00000022337.7","ENSMUST00000022962.7"
"7194","ENSMUSG00000053389.4","ENSMUST00000065781.4"
"7195","ENSMUSG00000051034.7","ENSMUST00000049778.6"
"7196","ENSMUSG00000109649.1","ENSMUST00000211339.1"
"7197","ENSMUSG00000111259.2","ENSMUST00000215312.2"
"7198","ENSMUSG00000096426.2","ENSMUST00000178080.2"
"7199","ENSMUSG00000071341.4","ENSMUST00000095759.4"
"7200","ENSMUSG00000079421.8","ENSMUST00000113010.8"
"7201","ENSMUSG00000045251.13","ENSMUST00000106300.1"
"7202","ENSMUSG00000031710.4","ENSMUST00000034146.4"
"7203","ENSMUSG00000004768.14","ENSMUST00000088287.9"
"7204","ENSMUSG00000049929.7","ENSMUST00000060576.7"
"7205","ENSMUSG00000096386.1","ENSMUST00000177815.1"
"7206","ENSMUSG00000028974.13","ENSMUST00000030816.3"
"7207","ENSMUSG00000032212.10","ENSMUST00000049263.8"
